asin,name,brand,price,regular_price,total_reviews,average_rating,seller,seller_url,availability_status,availability_quantity,shipping_charge,is_prime,author,available_book_formats,is_aplus_page,small_description,full_description,images,video_count,productCategory,url,attributes,size,color,model,product_information,parent_asin,variation_asin,product_variations,product_condition,frequently_bought_together,product_badges,five_star,four_star,three_star,two_star,one_star
B0DHHHK7G2,Scarred King (Adamov Bratva Book 1) Kindle Edition,,$2.99,$2.99,"2,325",4.5,Amazon.com,,,,,True,Naomi West,"[{'Kindle': {'asin': 'B0DHHHK7G2', 'price': '$0.00'}}, {'Paperback': {'asin': 'B0DHHHK7G2', 'price': '$18.22'}}]",False,,"What if your boss asked you to have his baby? With one catch: You have to do it the old-fashioned way. Normally, I would’ve told him to take his offer and shove it. But my mom needs my help. And I can’t afford to save her myself. In comes Arsen Adamov with a devil’s deal on a silver platter. Have his baby. Then walk away—no strings attached. I’d do anything for my mom. And spending a night with my gorgeous, dangerous, billionaire boss isn’t exactly torture. But as it turns out, Arsen lied about the strings. Because right after the deed is done, he drops a new bombshell on my head. I’m getting promoted… From surrogate to bride. Whether I like it or not. SCARRED KING is Book 1 of the Adamov Bratva duet. Arsen and Laila’s story continues in Book 2, SCARRED QUEEN .",['https://m.media-amazon.com/images/I/81zsdL1B1xL._SY522_.jpg'],0,Kindle Store > Kindle eBooks > Literature & Fiction,https://www.amazon.com/-/dp/B0DHHHK7G2?_encoding=UTF8&th=1&psc=1&pf_rd_i=desktop&ref_=pd_gw_unk,Kindle,,,,"{'ASIN': 'B0DHHHK7G2', 'Publication date': 'September 18, 2024', 'Language': 'English', 'File size': '1418 KB', 'Text-to-Speech': 'Enabled', 'Screen Reader': 'Supported', 'Enhanced typesetting': 'Enabled', 'X-Ray': 'Enabled', 'Word Wise': 'Enabled', 'Print length': '504 pages', 'Page numbers source ISBN': 'B0DHNM8MN7', 'Amazon Best Sellers Rank': '#20 in Kindle Store , #1 in Billionaires & Millionaires Romance , #2 in Billionaire Romance , #3 in Billionaires & Millionaires Romance eBooks'}",B0DHHHK7G2,[],{},new,[],[],62%,27%,9%,2%,1%
B0CV2Y8CQC,Truly Madly Deeply: A Grumpy x Sunshine Romance (Forbidden Love Book 1) Kindle Edition,,$4.99,$4.99,"9,788",4.4,Amazon.com,,,,,True,L.J. Shen,"[{'Kindle': {'asin': 'B0CV2Y8CQC', 'price': '$0.00'}}, {'Audiobook': {'asin': 'B0CV2Y8CQC', 'price': '$0.99'}}, {'Paperback': {'asin': 'B0CV2Y8CQC', 'price': '$12.73'}}, {'Audio CD': {'asin': 'B0CV2Y8CQC', 'price': '$29.86'}}]",False,,"“LJ Shen has a gift for writing the hottest, grumpiest heroes you just can’t help but fall for, and Row is no exception. I couldn’t put this book down.” - Author Jessica Prince This old flame just might set them on fire. Conceited, unattainable, and downright delicious, renowned Michelin-starred chef Ambrose Casablancas has one passion in life—food. Women are a distraction, and he doesn’t do those. Especially Cal Litvin, his baby sister’s best friend. Her entire existence is a complication; she’s awkward, eccentric, infuriating… And, much to his chagrin, hotter than his kitchen. Ambrose has a lot on his plate: a new restaurant to open, a multimillion-dollar property deal to execute, and a violent stalker to tame. Then Cal shows up at his doorstep, looking for both a job and salvation after their messy goodbye. His resolve, like his patience, is ebbing each day she works at his restaurant. Because Cal is no longer a doe-eyed girl. Now? She’s the woman he’ll do anything to conquer. *** Quirky, compassionate ball of sunshine Calla Litvin can’t catch a break, and not just because she swore off running. Back in her hometown to nurse her mother’s broken heart after losing her father, she finds herself jobless, hopeless, and penniless. She hopes to rekindle her friendship with her former BFF, but Dylan is attached at the hip to her cruel brother—the one Cal’s been secretly crushing on since middle school. Falling for the bad boy the second time around would be a mistake of gargantuan proportions. Too bad she’s always been clumsy. Truly, Madly, Deeply, is a grumpy x sunshine, enemies to lovers romance. It is the first in the Forbidden Love series, but can be read as a standalone.",['https://m.media-amazon.com/images/I/81M0afh+A1L._SY522_.jpg'],0,Kindle Store > Kindle eBooks > Romance,https://www.amazon.com/-/dp/B0CV2Y8CQC?_encoding=UTF8&th=1&psc=1&pf_rd_i=desktop&ref_=pd_gw_unk,Kindle,,,,"{'ASIN': 'B0CV2Y8CQC', 'Publisher': '(September 10, 2024)', 'Publication date': 'September 10, 2024', 'Language': 'English', 'File size': '1901 KB', 'Simultaneous device usage': 'Unlimited', 'Text-to-Speech': 'Enabled', 'Screen Reader': 'Supported', 'Enhanced typesetting': 'Enabled', 'X-Ray': 'Enabled', 'Word Wise': 'Enabled', 'Print length': '568 pages', 'Amazon Best Sellers Rank': '#16 in Kindle Store , #1 in Billionaire Romance , #2 in Billionaires & Millionaires Romance eBooks , #2 in Romantic Comedy (Kindle Store)'}",B0CV2Y8CQC,[],{},new,[],[],57%,27%,12%,3%,1%
B0D5JS9LV6,"Secret Love : A Small Town, Single Dad, Sports Romance (The Single Dad Playbook Book 2) Kindle Edition",,$4.99,$4.99,"1,039",4.4,Amazon.com,,,,,True,Willow Aster,"[{'Kindle': {'asin': 'B0D5JS9LV6', 'price': '$0.00'}}, {'Audiobook': {'asin': 'B0D5JS9LV6', 'price': '$0.99'}}, {'Paperback': {'asin': 'B0D5JS9LV6', 'price': '$15.99'}}]",True,,"Who meets their soulmate shopping for bagels in a supermarket bakery aisle? Before I moved to the small town of Silver Hills, I would have told you no one. But the second I meet Henley Ward, I’m swept away. He is everything I look for in a man: tall, strong and so handsome. Our instant attraction, spirited banter, and heated glances leave a lasting impression… Until I see him again. Like a raging tornado, he storms into the school ready to take on the teacher who has crushed his daughter’s spirit. The dedication this man has to his three daughters could be the sexiest thing I have ever seen. Before we know it, we are stealing kisses in his kitchen and secretly getting together any chance we can. I know I should stay away from Henley so I don’t lose my job, and his focus is on raising the girls and being the best wide receiver in football, but our attraction is intense and the draw between us is too tempting to resist. I can only hope our secret love will survive when our truth is revealed. Secret Love is book two in the Single Dad Playbook series. Each book can be read as a standalone.",['https://m.media-amazon.com/images/I/81rrfOXRifL._SY522_.jpg'],0,Kindle Store > Kindle eBooks > Literature & Fiction,https://www.amazon.com/-/dp/B0D5JS9LV6?_encoding=UTF8&th=1&psc=1&pf_rd_i=desktop&ref_=pd_gw_unk,Kindle,,,,"{'ASIN': 'B0D5JS9LV6', 'Publication date': 'October 10, 2024', 'Language': 'English', 'File size': '4755 KB', 'Simultaneous device usage': 'Unlimited', 'Text-to-Speech': 'Enabled', 'Screen Reader': 'Supported', 'Enhanced typesetting': 'Enabled', 'X-Ray': 'Not Enabled', 'Word Wise': 'Enabled', 'Print length': '375 pages', 'Amazon Best Sellers Rank': '#43 in Kindle Store , #2 in New Adult & College Romance (Kindle Store) , #3 in Sports Romance (Books) , #7 in New Adult & College Romance (Books)'}",B0D5JS9LV6,[],{},new,[],[],53%,35%,10%,2%,1%
B0CJ7FZZKJ,Chase Our Forever: A Small Town Single Dad Romance (Sutten Mountain) Kindle Edition,,$5.99,$5.99,"1,013",4.5,Amazon.com,,,,,True,Kat Singleton,"[{'Kindle': {'asin': 'B0CJ7FZZKJ', 'price': '$0.00'}}, {'Paperback': {'asin': 'B0CJ7FZZKJ', 'price': '$18.99'}}]",True,,"Dean Livingston needs a new live-in nanny, and I need a safe place to stay. I’d been running from my past when I stumbled into the small town of Sutten Mountain, tired and alone. That’s where I met a broken single dad and his adorable daughter. Dean has more money than he could ever spend but couldn’t keep a nanny. After firing every eligible candidate in town, he was desperate for help. So when his daughter fell in love with me after one brief meeting, I instantly became perfect for the job. The arrangement was always meant to be temporary, but seeing Dean start to heal and open up makes me want to stay. Seeing how happy his daughter is makes me feel like I belong here. Now, I’m slowly falling for the town of Sutten—and my boss. I know better than to open myself back up and to give my heart to a man who swore he’d never love again. But maybe with enough time, we can stop fighting our feelings long enough to fight for the family we’ve created. Maybe we can run toward each other for once and chase our forever . Chase Our Forever is a small town, single dad, billionaire, age gap romance releasing on October 10th. This will be the third book set in the fictional town of Sutten Mountain. It is a complete standalone.",['https://m.media-amazon.com/images/I/8192641RObL._SY522_.jpg'],1,Kindle Store > Kindle eBooks > Literature & Fiction,https://www.amazon.com/-/dp/B0CJ7FZZKJ?_encoding=UTF8&th=1&psc=1&pf_rd_i=desktop&ref_=pd_gw_unk,Kindle,,,,"{'ASIN': 'B0CJ7FZZKJ', 'Publisher': '(October 10, 2024)', 'Publication date': 'October 10, 2024', 'Language': 'English', 'File size': '3097 KB', 'Simultaneous device usage': 'Unlimited', 'Text-to-Speech': 'Enabled', 'Screen Reader': 'Supported', 'Enhanced typesetting': 'Enabled', 'X-Ray': 'Not Enabled', 'Word Wise': 'Enabled', 'Print length': '354 pages', 'Amazon Best Sellers Rank': '#38 in Kindle Store , #1 in Small Town Romance (Books) , #2 in Western & Frontier Romance , #4 in Small Town Romance eBooks'}",B0CJ7FZZKJ,[],{},new,[],[],58%,31%,10%,1%,0%
B0DD357DWQ,The Wingman: a relationship coach hockey romance (Vancouver Storm Book 3) Kindle Edition,,$4.99,,"5,938",4.3,Amazon.com,,,,,True,Stephanie Archer,"[{'Kindle': {'asin': 'B0DD357DWQ', 'price': '$0.00'}}, {'Audiobook': {'asin': 'B0DD357DWQ', 'price': '$0.99'}}, {'Paperback': {'asin': 'B0DD357DWQ', 'price': '$19.99'}}]",False,,"The best way to gain confidence in relationships? Hayden Owens—the hottest defenseman in pro hockey, my confident best friend, and my new dating coach. He’ll teach me to be a player, but convinces me to practice with him. We’ve been friends for years, but our flirting lessons and practice kisses push the bounds of friendship. We’re roommates, but sleeping in the same bed. He buys me a toy as a favor… but helps me use it. All that relationship stuff he’s always avoided? He doesn’t seem to mind it anymore. Rule number one of being a player is no attachments, but when Hayden sees me picking up other guys, he’s jealous enough that I wonder... Maybe my wingman's been waiting for me all along. The Wingman is a pro hockey best friends to lovers romance. It's the third book in the Vancouver Storm series but can be read as a standalone. Tropes: best friends to lovers relationship coach pro hockey golden retriever himbo popular guy vs shy girl",['https://m.media-amazon.com/images/I/81RWtolJu2L._SY522_.jpg'],0,Kindle Store > Kindle eBooks > Romance,https://www.amazon.com/-/dp/B0DD357DWQ?_encoding=UTF8&th=1&psc=1&pf_rd_i=desktop&ref_=pd_gw_unk,Kindle,,,,"{'ASIN': 'B0DD357DWQ', 'Publication date': 'September 26, 2024', 'Language': 'English', 'File size': '2450 KB', 'Simultaneous device usage': 'Unlimited', 'Text-to-Speech': 'Enabled', 'Screen Reader': 'Supported', 'Enhanced typesetting': 'Enabled', 'X-Ray': 'Enabled', 'Word Wise': 'Enabled', 'Print length': '448 pages', 'Amazon Best Sellers Rank': '#17 in Kindle Store , #1 in Sports Romance (Kindle Store) , #3 in Romantic Comedy (Kindle Store) , #5 in Contemporary Romance (Books)'}",B0DD357DWQ,[],{},new,[],[],47%,37%,14%,2%,0%
B0DDKHNVWF,Quicksilver Kindle Edition,,$5.99,,"38,830",4.7,Hachette Book Group,,,,,False,Callie Hart,"[{'Kindle': {'asin': 'B0DDKHNVWF', 'price': '$0.00'}}, {'Audiobook': {'asin': 'B0DDKHNVWF', 'price': '$0.00'}}, {'Paperback': {'asin': 'B0DDKHNVWF', 'price': '$11.00'}}]",True,,"From USA Today Bestselling Author Callie Hart comes a highly addicting enemies-to-lovers Romantasy with razor-sharp banter, heart-stopping action, and blistering hot romance that you won’t be able to put down! Do not touch the sword. Do not turn the key. Do not open the gate. Twenty-four-year-old Saeris Fane is good at keeping secrets. No one knows about the strange powers she possesses, or the fact that she has been picking pockets and stealing from the Undying Queen’s reservoirs for as long as she can remember. In the land of the unforgiving desert, there isn’t much a girl wouldn’t do for a glass of water. But a secret is like a knot. Sooner or later, it is bound to come undone. When Saeris comes face-to-face with Death himself, she inadvertently reopens a gateway between realms and is transported to a land of ice and snow. The Fae have always been the stuff of myth, of legend, of nightmares…but it turns out they’re real, and Saeris has landed right in the middle of a centuries-long conflict that might just get her killed. The first of her kind to tread the frozen mountains of Yvelia in over a thousand years, Saeris mistakenly binds herself to Kingfisher, a handsome Fae warrior, who has secrets and nefarious agendas of his own. He will use her Alchemist’s magic to protect his people, no matter what it costs him… or her. Death has a name. It is Kingfisher of the Ajun Gate. His past is murky. His attitude stinks. And he’s the only way Saeris is going to make it home. Be careful of the deals you make, dear child. The devil is in the details... N.B. Quicksilver contains depictions of graphic violence/adult situations and is therefore recommended for readers 17+. For a full list of tropes and TWs, please visit the author's website.",['https://m.media-amazon.com/images/I/81HmV4VuVKL._SY522_.jpg'],0,Kindle Store > Kindle eBooks > Science Fiction & Fantasy,https://www.amazon.com/-/dp/B0DDKHNVWF?_encoding=UTF8&th=1&psc=1&pf_rd_i=desktop&ref_=pd_gw_unk,Kindle,,,,"{'ASIN': 'B0DDKHNVWF', 'Publisher': 'Forever (September 10, 2024)', 'Publication date': 'September 10, 2024', 'Language': 'English', 'File size': '1785 KB', 'Text-to-Speech': 'Enabled', 'Screen Reader': 'Supported', 'Enhanced typesetting': 'Enabled', 'X-Ray': 'Enabled', 'Word Wise': 'Enabled', 'Print length': '624 pages', 'Amazon Best Sellers Rank': '#13 in Kindle Store , #1 in Action & Adventure Romance (Books) , #1 in Action & Adventure Romance (Kindle Store) , #2 in Romantic Fantasy (Books)'}",B0DDKHNVWF,[],{},new,[],[],73%,21%,5%,1%,0%
B089S72XBK,Hour of the Witch: A Novel Kindle Edition,,$1.99,$18.00,"9,490",4.3,Random House LLC,,,,,False,Chris Bohjalian,"[{'Kindle': {'asin': 'B089S72XBK', 'price': '$1.99'}}, {'Audiobook': {'asin': 'B089S72XBK', 'price': '$0.99'}}, {'Hardcover': {'asin': 'B089S72XBK', 'price': '$20.50'}}, {'Paperback': {'asin': 'B089S72XBK', 'price': '$10.19'}}]",True,,"NEW YORK TIMES BESTSELLER • From the acclaimed author of The Flight Attendant: “Historical fiction at its best…. The book is a thriller in structure, and a real page-turner, the ending both unexpected and satisfying” (Diana Gabaldon, bestselling author of the Outlander series , The Washington Post ) . A young Puritan woman—faithful, resourceful, but afraid of the demons that dog her soul — plots her escape from a violent marriage in this riveting and propulsive novel of historical suspense. Boston, 1662. Mary Deerfield is twenty-four-years-old. Her skin is porcelain, her eyes delft blue, and in England she might have had many suitors. But here in the New World, amid this community of saints, Mary is the second wife of Thomas Deerfield, a man as cruel as he is powerful. When Thomas, prone to drunken rage, drives a three-tined fork into the back of Mary's hand, she resolves that she must divorce him to save her life. But in a world where every neighbor is watching for signs of the devil, a woman like Mary—a woman who harbors secret desires and finds it difficult to tolerate the brazen hypocrisy of so many men in the colony—soon becomes herself the object of suspicion and rumor. When tainted objects are discovered buried in Mary's garden, when a boy she has treated with herbs and simples dies, and when their servant girl runs screaming in fright from her home, Mary must fight to not only escape her marriage, but also the gallows. A twisting, tightly plotted novel of historical suspense from one of our greatest storytellers, Hour of the Witch is a timely and terrifying story of socially sanctioned brutality and the original American witch hunt. Look for Chris Bohjalian's new novel, The Lioness !",['https://m.media-amazon.com/images/I/71dsx3-bdKL._SY522_.jpg'],1,Kindle Store > Kindle eBooks > Literature & Fiction,https://www.amazon.com/-/dp/B089S72XBK?_encoding=UTF8&th=1&psc=1&pf_rd_i=desktop&ref_=pd_gw_unk,Kindle,,,,"{'ASIN': 'B089S72XBK', 'Publisher': 'Vintage (May 4, 2021)', 'Publication date': 'May 4, 2021', 'Language': 'English', 'File size': '3231 KB', 'Text-to-Speech': 'Enabled', 'Screen Reader': 'Supported', 'Enhanced typesetting': 'Enabled', 'X-Ray': 'Enabled', 'Word Wise': 'Enabled', 'Print length': '401 pages', 'Amazon Best Sellers Rank': '#205 in Kindle Store , #1 in Witch & Wizard Thrillers , #6 in Marriage & Divorce Fiction , #15 in Family Life Fiction (Books)'}",B089S72XBK,[],{},new,[],[],52%,31%,12%,3%,2%
B0BGXYL3BZ,The Housemaid's Secret: A totally gripping psychological thriller with a shocking twist Kindle Edition,,$4.99,$4.99,"208,349",4.4,Amazon.com,,,,,True,Freida McFadden,"[{'Kindle': {'asin': 'B0BGXYL3BZ', 'price': '$0.00'}}, {'Audiobook': {'asin': 'B0BGXYL3BZ', 'price': '$0.99'}}, {'Paperback': {'asin': 'B0BGXYL3BZ', 'price': '$7.68'}}]",False,,"“Don’t go in the guest bedroom.” A shadow falls on Douglas Garrick’s face as he touches the door with his fingertips. “My wife… she’s very ill.” As he continues showing me their incredible penthouse apartment, I have a terrible feeling about the woman behind closed doors. But I can’t risk losing this job—not if I want to keep my darkest secret safe… It’s hard to find an employer who doesn’t ask too many questions about my past. So I thank my lucky stars that the Garricks miraculously give me a job, cleaning their stunning penthouse with views across the city and preparing fancy meals in their shiny kitchen. I can work here for a while, stay quiet until I get what I want. It’s almost perfect. But I still haven’t met Mrs Garrick, or seen inside the guest bedroom. I’m sure I hear her crying. I notice spots of blood around the neck of her white nightgowns when I’m doing laundry. And one day I can’t help but knock on the door. When it gently swings open, what I see inside changes everything … That’s when I make a promise. After all, I’ve done this before. I can protect Mrs Garrick while keeping my own secrets locked up safe. Douglas Garrick has done wrong. He is going to pay. It’s simply a question of how far I’m willing to go… This absolutely explosive and shockingly twisty sequel to international phenomenon and New York Times , USA Today and Wall Street Journal bestseller The Housemaid will keep you racing through the pages late into the night. Anyone who loves The Perfect Marriage by Jeneva Rose, The Woman in the Window and Gone Girl will be totally hooked! This book can also be enjoyed as a standalone. Read what everyone’s saying about The Housemaid’s Secret : “ OMG!!! MIND ABSOLUTELY BLOWN!!!! Love, LOVE, LOVED this absolute page-turner!! … OMG the twists just kept on coming again and again!!! … I absolutely devoured it in one sitting!!… Addictive, mind-blowing page-turner that will keep you up with a racing heart until you've finished!!!” Bookworm86 , ⭐⭐⭐⭐⭐ “Absolutely amazing! ... Wowsers… The end twist was MAGNIFICANT, and it was the first time ever, when reading any thriller, that I have gasped out loud “noooooo?” (so loudly in fact my husband asked what was happening!)…. Brilliant… I highly recommend it.” jsybookworm , ⭐⭐⭐⭐⭐ “An amazing psychological thriller!! … will grab you literally from the first line… Hold on to your jaws, because they will drop … Loved. It. So. Much!! ” Goodreads reviewer, ⭐⭐⭐⭐⭐ “OH YEAH!!!… I flew through the pages like a bat out of hell . So, so good!! I absolutely loved every second of it!!… Will lead you down one path until you are completely turned around and screaming WTF?! ” Goodreads reviewer, ⭐⭐⭐⭐⭐ “I DEVOURED this book quicker than I ever read any other book … I was sucked in … I loved every second of it… I will forever recommend this book.” Goodreads reviewer, ⭐⭐⭐⭐⭐ “I read this book straight through in one sitting , and stayed up entirely too late to do so… Crazy twists and turns —I actually said “Wait, what?” out loud.” Goodreads reviewer, ⭐⭐⭐⭐⭐ “ Made my whole year!! … This book is AMAZING!!! Twists on twists on twists! … I absolutely devoured it!” Goodreads reviewer, ⭐⭐⭐⭐⭐ “ Oh my word … Freida McFadden is the QUEEN of plot twists … The twists had twists! … I was hooked from the very start !! … very hard to put down!!… Moments where I’m not sure I was even breathing … I loved every second of this!! ” books_andmakeup , ⭐⭐⭐⭐⭐",['https://m.media-amazon.com/images/I/81kZT7aHGIL._SY522_.jpg'],6,Kindle Store > Kindle eBooks > Literature & Fiction,https://www.amazon.com/-/dp/B0BGXYL3BZ?_encoding=UTF8&th=1&psc=1&pf_rd_i=desktop&ref_=pd_gw_unk,Kindle,,,,"{'ASIN': 'B0BGXYL3BZ', 'Publisher': 'Bookouture (February 20, 2023)', 'Publication date': 'February 20, 2023', 'Language': 'English', 'File size': '2344 KB', 'Text-to-Speech': 'Enabled', 'Screen Reader': 'Supported', 'Enhanced typesetting': 'Enabled', 'X-Ray': 'Enabled', 'Word Wise': 'Enabled', 'Print length': '316 pages', 'Amazon Best Sellers Rank': '#16 in Kindle Store , #2 in Psychological Fiction (Books) , #3 in Psychological Fiction (Kindle Store) , #4 in Suspense Thrillers'}",B0BGXYL3BZ,[],{},new,[],"[{'badge': 'Amazon Charts', 'badge_text': '#12 this week'}]",58%,31%,9%,1%,0%
B0D3J69G2Y,Drop Dead Sisters (The Finch Sisters Book 1) Kindle Edition,,,,"2,083",4.1,,,,,,False,Amelia Diane Coombs | Mindy Kaling (Introduction),"[{'Kindle': {'asin': 'B0D3J69G2Y', 'price': '$1.99'}}, {'Audiobook': {'asin': 'B0D3J69G2Y', 'price': '$0.00'}}, {'Hardcover': {'asin': 'B0D3J69G2Y', 'price': '$28.99'}}, {'Paperback': {'asin': 'B0D3J69G2Y', 'price': '$16.99'}}]",True,,"“Compulsively readable, Drop Dead Sisters is perfect for readers who love shows like Bad Sisters and Dead to Me . A mystery about three estranged sisters who accidentally kill someone? Yes, please.” —Mindy Kaling Three sisters reunite on a family vacation and rekindle their relationship the only way they know how—by covering each other’s tracks in a real-life murder mystery not even they can figure out. Remi Finch has spent the better part of her adult life avoiding family—especially her sisters. They just don’t click. Besides, her unconventional upbringing and major anxiety have convinced Remi that she can’t build a relationship with anyone. Period. When her parents plan a family reunion camping trip to celebrate their anniversary, Remi’s willing to reconnect, if only because she doesn’t have a choice. But then a dead body turns up at their campsite, and their sisterly bonding kicks into high gear. No one knows the whole story, but the Finch women are prepared to cover up the pieces before anyone tries to put them together. It’s a precautionary measure, probably unnecessary. Nobody else was there, so how could they have seen anything? Between old grudges and new dynamics, a handsome park ranger, and a body that won’t stay hidden, Remi is about to learn that nothing strengthens family ties quite like crime.",['https://m.media-amazon.com/images/I/71bFOQxoysL._SY522_.jpg'],0,Kindle Store > Kindle eBooks > Literature & Fiction,https://www.amazon.com/-/dp/B0D3J69G2Y?_encoding=UTF8&th=1&psc=1&pf_rd_i=desktop&ref_=pd_gw_unk,Kindle,,,,"{'ASIN': 'B0D3J69G2Y', 'Publisher': ""Mindy's Book Studio (November 1, 2024)"", 'Publication date': 'November 1, 2024', 'Language': 'English', 'File size': '4291 KB', 'Text-to-Speech': 'Enabled', 'Screen Reader': 'Supported', 'Enhanced typesetting': 'Enabled', 'X-Ray': 'Enabled', 'Word Wise': 'Enabled', 'Print length': '255 pages', 'Page numbers source ISBN': '1662522754', 'Amazon Best Sellers Rank': '#11 in Kindle Store , #1 in Dark Humor , #1 in Sisters Fiction , #1 in Women Sleuths (Kindle Store)'}",B0D3J69G2Y,[],{},new,[],[],42%,34%,17%,5%,2%
B09CLVJJ77,Haunting Adeline (Cat and Mouse Duet Book 1) Kindle Edition,,$4.99,,"118,802",4.4,Amazon.com,,,,,True,H. D. Carlton,"[{'Kindle': {'asin': 'B09CLVJJ77', 'price': '$0.00'}}, {'Audiobook': {'asin': 'B09CLVJJ77', 'price': '$0.99'}}, {'Hardcover': {'asin': 'B09CLVJJ77', 'price': '$23.50'}}, {'Paperback': {'asin': 'B09CLVJJ77', 'price': '$15.55'}}]",True,,"AN AMAZON TOP 5 BESTSELLER! The Manipulator I can manipulate the emotions of anyone who lets me. I will make you hurt, make you cry, make you laugh and sigh. But my words don't affect him. Especially not when I plead for him to leave. He's always there, watching and waiting. And I can never look away. Not when I want him to come closer. The Shadow I didn't mean to fall in love. But now that I have, I can't stay away. I'm mesmerized by her smile, by her eyes, and the way she moves. The way she undresses... I'll keep watching and waiting. Until I can make her mine. And once she is, I'll never let her go. Not even when she begs me to. While not required, it is highly suggested to read the novella, Satan's Affair, first. Author's Note: This book ends on a cliffhanger. For CWs, please check the author's website. Recommended Reading Order for the C&M Universe: Satan's Affair Haunting Adeline Hunting Adeline Where's Molly",['https://m.media-amazon.com/images/I/919CJILxYOL._SY522_.jpg'],3,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",https://www.amazon.com/-/dp/B09CLVJJ77?_encoding=UTF8&th=1&psc=1&pf_rd_i=desktop&ref_=pd_gw_unk,Kindle,,,,"{'ASIN': 'B09CLVJJ77', 'Publisher': '(August 12, 2021)', 'Publication date': 'August 12, 2021', 'Language': 'English', 'File size': '21977 KB', 'Simultaneous device usage': 'Unlimited', 'Text-to-Speech': 'Enabled', 'Screen Reader': 'Supported', 'Enhanced typesetting': 'Enabled', 'X-Ray': 'Enabled', 'Word Wise': 'Enabled', 'Print length': '564 pages', 'Amazon Best Sellers Rank': '#23 in Kindle Store , #1 in Gothic Romance , #1 in Vigilante Justice Thrillers , #4 in Contemporary Romance Fiction'}",B09CLVJJ77,[],{},new,[],"[{'badge': 'Amazon Charts', 'badge_text': '#19 this week'}]",63%,22%,10%,3%,2%
