rank,asin,name,ratings_count,rating,sale_price,image,is_prime_x,product_url,category,brand,price,regular_price,seller,availability_status,is_prime_y,is_aplus_page,full_description,video_count,parent_asin,five_star,four_star,three_star,two_star,one_star
1,B0CJM1GNFQ,"Amazon Fire TV Stick 4K with AI-powered Fire TV Search, Wi-Fi 6, stream over 1.5 million movies and shows, free & live TV",41456.0,4.7,$49.99,"https://images-na.ssl-images-amazon.com/images/I/417H5BZf2LL._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/Amazon-Fire-TV-Stick-4K-streaming-device/dp/B0CJM1GNFQ/ref=zg_bs_g_amazon-devices_d_sccl_1/130-2250045-4063114?psc=1,Amazon Devices & Accessories,Amazon,$49.99,,Amazon.com,In Stock,True,False,,10.0,B0CDR2MSVC,83%,10%,3%,1%,3%
2,B0B1N5FK48,"Blink Outdoor 4 – Wireless smart security camera, two-year battery, 1080p HD day and infrared night live view, two-way talk – 3 camera system",24950.0,4.2,$259.99,"https://images-na.ssl-images-amazon.com/images/I/41PtM0usvoL._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/Blink-Outdoor-4th-Gen-3-Camera/dp/B0B1N5FK48/ref=zg_bs_g_amazon-devices_d_sccl_2/130-2250045-4063114?psc=1,Amazon Devices & Accessories,Blink,$259.99,,Amazon.com,In Stock,True,False,,10.0,B0C32KN8DC,65%,13%,6%,5%,11%
3,B08C1W5N87,"Amazon Fire TV Stick, HD, sharp picture quality, fast streaming, free & live TV, Alexa Voice Remote with TV controls",498544.0,4.7,$39.99,"https://images-na.ssl-images-amazon.com/images/I/51TjJOTfslL._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/fire-tv-stick-with-3rd-gen-alexa-voice-remote/dp/B08C1W5N87/ref=zg_bs_g_amazon-devices_d_sccl_3/130-2250045-4063114?psc=1,Amazon Devices & Accessories,Amazon,$39.99,,Amazon.com,In Stock,True,False,,10.0,B08WJSHSLC,82%,11%,3%,1%,3%
4,B0BP9SNVH9,"Amazon Fire TV Stick 4K Max, our most powerful 4K streaming stick with Wi-Fi 6E support, 16GB Storage, Quad-Core Processor.",35230.0,4.6,$59.99,"https://images-na.ssl-images-amazon.com/images/I/41P0qtzxWSL._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/all-new-amazon-fire-tv-stick-4k-max/dp/B0BP9SNVH9/ref=zg_bs_g_amazon-devices_d_sccl_4/130-2250045-4063114?psc=1,Amazon Devices & Accessories,Amazon,$59.99,,Amazon.com,In Stock,True,False,,10.0,B0CDR3P78V,80%,11%,3%,1%,4%
5,B08SG2MS3V,"Blink Video Doorbell | Two-way audio, HD video, motion and chime app alerts and Alexa enabled — wired or wire-free (Black)",150354.0,4.2,$59.99,"https://images-na.ssl-images-amazon.com/images/I/41te-uzWxDL._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/Blink-Video-Doorbell/dp/B08SG2MS3V/ref=zg_bs_g_amazon-devices_d_sccl_5/130-2250045-4063114?psc=1,Amazon Devices & Accessories,Blink,$59.99,,Amazon.com,In Stock,True,False,,10.0,B0BM2YG2K7,66%,13%,7%,4%,9%
6,B09TMN58KL,"Amazon Kindle Paperwhite (16 GB) – Now with a larger display, adjustable warm light, increased battery life, and faster page turns – Black",61320.0,4.7,,"https://images-na.ssl-images-amazon.com/images/I/51QCk82iGcL._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/Kindle-Paperwhite-16-GB-adjustable/dp/B09TMN58KL/ref=zg_bs_g_amazon-devices_d_sccl_6/130-2250045-4063114?psc=1,Amazon Devices & Accessories,Amazon,,,,Currently unavailable.,False,False,,10.0,B09F7TGV1H,85%,8%,3%,1%,3%
7,B09B8V1LZ3,"Amazon Echo Dot (5th Gen, 2022 release) | With bigger vibrant sound, helpful routines and Alexa | Charcoal",127640.0,4.6,$49.99,"https://images-na.ssl-images-amazon.com/images/I/518cRYanpbL._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/All-New-release-Smart-speaker-Charcoal/dp/B09B8V1LZ3/ref=zg_bs_g_amazon-devices_d_sccl_7/130-2250045-4063114?psc=1,Amazon Devices & Accessories,Amazon,$49.99,$49.99,Amazon.com,In Stock,True,False,,10.0,B0BF73CTQF,80%,12%,4%,1%,3%
8,B07X6C9RMF,"Blink Mini – Compact indoor plug-in smart security camera, 1080p HD video, night vision, motion detection, two-way audio, easy set up, Works with Alexa – 1 camera (White)",292737.0,4.4,$29.99,"https://images-na.ssl-images-amazon.com/images/I/31k4JysPQ5L._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/Blink-Mini-White-1Cam/dp/B07X6C9RMF/ref=zg_bs_g_amazon-devices_d_sccl_8/130-2250045-4063114?psc=1,Amazon Devices & Accessories,Blink,$29.99,,Amazon.com,In Stock,True,False,,10.0,B0BWD4WGJB,71%,14%,7%,3%,6%
9,B091G4YP57,"Amazon Fire TV Stick Lite, free and live TV, Alexa Voice Remote Lite, smart home controls, HD streaming",71582.0,4.6,$29.99,"https://images-na.ssl-images-amazon.com/images/I/41DTzx56EWL._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/fire-tv-stick-lite-latest-alexa-voice-remote-lite/dp/B091G4YP57/ref=zg_bs_g_amazon-devices_d_sccl_9/130-2250045-4063114?psc=1,Amazon Devices & Accessories,Amazon,$29.99,,Amazon.com,In Stock,True,False,,10.0,B09KWWZ67B,80%,11%,4%,1%,4%
10,B0BZWRSRWV,"All-new Ring Battery Doorbell — Now with 66% more coverage, Head-to-Toe Video, Live View with Two-Way Talk, and Motion Detection & Alerts (2024 release), Satin Nickel",181.0,4.3,$99.99,"https://images-na.ssl-images-amazon.com/images/I/61vE894jVGL._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/Ring-Battery-Doorbell-Head-to-Toe-Video-Satin-Nickel/dp/B0BZWRSRWV/ref=zg_bs_g_amazon-devices_d_sccl_10/130-2250045-4063114?psc=1,Amazon Devices & Accessories,Ring,$99.99,,Amazon.com,In Stock,True,False,,10.0,B0DB7S5SP2,71%,11%,5%,4%,8%
11,B0BZWRLRLK,"All-new Ring Battery Doorbell — Now with 66% more coverage, Head-to-Toe Video, Live View with Two-Way Talk, and Motion Detection & Alerts (2024 release), Venetian Bronze",132.0,4.3,,"https://images-na.ssl-images-amazon.com/images/I/61TLneKHd+L._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/Ring-Battery-Doorbell-Head-to-Toe-Video-Venetian-Bronze/dp/B0BZWRLRLK/ref=zg_bs_g_amazon-devices_d_sccl_11/130-2250045-4063114?psc=1,Amazon Devices & Accessories,Ring,$99.99,,Amazon.com,In Stock,True,False,,5.0,B0DJY6JP3C,72%,10%,3%,4%,11%
12,B089DR29T6,"Amazon Smart Plug | Works with Alexa | Simple setup, endless possibilities",564616.0,4.7,$24.99,"https://images-na.ssl-images-amazon.com/images/I/411tekLceiL._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/Amazon-smart-plug-works-with-Alexa/dp/B089DR29T6/ref=zg_bs_g_amazon-devices_d_sccl_12/130-2250045-4063114?psc=1,Amazon Devices & Accessories,Amazon,$24.99,,Amazon.com,In Stock,True,False,,10.0,B07KTYJ769,82%,11%,4%,1%,2%
13,B0BFC7WQ6R,"All-new Amazon Echo Spot (2024 release), Smart alarm clock with vibrant sound + Alexa, no visual ads, Black",11009.0,4.6,$79.99,"https://images-na.ssl-images-amazon.com/images/I/61TuF2ElKgL._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/All-new-Amazon-Echo-Spot-2024-release-Smart-alarm-clock-with-vibrant-sound-Alexa-Black/dp/B0BFC7WQ6R/ref=zg_bs_g_amazon-devices_d_sccl_13/130-2250045-4063114?psc=1,Amazon Devices & Accessories,Amazon,$79.99,,Amazon.com,In Stock,True,False,,10.0,B0CYHSCNSY,76%,15%,4%,2%,3%
14,B0BWWZXWPL,"Blink Mini 2 — Plug-in smart security camera, HD night view in color, built-in spotlight, two-way audio, motion detection, Works with Alexa (White)",2920.0,4.4,$39.99,"https://images-na.ssl-images-amazon.com/images/I/31tp0vzZwRL._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/Blink-Mini-2-Camera-White/dp/B0BWWZXWPL/ref=zg_bs_g_amazon-devices_d_sccl_14/130-2250045-4063114?psc=1,Amazon Devices & Accessories,Blink,$39.99,$39.99,Amazon.com,In Stock,True,False,,10.0,B0CXQ8RXWQ,72%,13%,5%,2%,8%
15,B0B6GLQJMV,"Ring Indoor Cam (newest model) | 1080p HD Video & Color Night Vision, Two-Way Talk, and Manual Audio & Video Privacy Cover | White",21249.0,4.7,$59.99,"https://images-na.ssl-images-amazon.com/images/I/51keHnu-7YL._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/introducing-the-all-new-Ring-Indoor-Cam/dp/B0B6GLQJMV/ref=zg_bs_g_amazon-devices_d_sccl_15/130-2250045-4063114?psc=1,Amazon Devices & Accessories,Ring,$59.99,,Amazon.com,In Stock,True,False,,10.0,B0C26FFG6R,81%,11%,3%,1%,3%
16,B01I0IGFKC,"Amazon 9W Official OEM USB Charger and Power Adapter for Fire Tablets, Kindle eReaders, and Echo Dot",15205.0,4.7,$19.99,"https://images-na.ssl-images-amazon.com/images/I/81hss7SMd7L._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/Amazon-Official-Charger-Adapter-eReaders/dp/B01I0IGFKC/ref=zg_bs_g_amazon-devices_d_sccl_16/130-2250045-4063114?psc=1,Amazon Devices & Accessories,Amazon,$19.99,,Amazon.com,In Stock,True,False,,9.0,B01I0IGFKC,81%,13%,4%,1%,2%
17,B09WNK39JN,"Amazon Echo Pop | Alexa fits in anywhere: bedroom, living room, bathroom, office, and small spaces | Charcoal",65937.0,4.7,$39.99,"https://images-na.ssl-images-amazon.com/images/I/61V5FRUgX8L._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/Amazon-Echo-Alexa-fits-anywhere/dp/B09WNK39JN/ref=zg_bs_g_amazon-devices_d_sccl_17/130-2250045-4063114?psc=1,Amazon Devices & Accessories,Amazon,$39.99,,Amazon.com,In Stock,True,False,,10.0,B0BZTVZ4XV,81%,12%,4%,1%,2%
18,B0BTTVRWPR,INSIGNIA 50-inch Class F30 Series LED 4K UHD Smart Fire TV with Alexa Voice Remote (NS-50F301NA24),13341.0,4.4,$189.99,"https://images-na.ssl-images-amazon.com/images/I/81DM+ZzL8rL._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/INSIGNIA-All-New-50-inch-Class-NS-50F301NA24/dp/B0BTTVRWPR/ref=zg_bs_g_amazon-devices_d_sccl_18/130-2250045-4063114?psc=1,Amazon Devices & Accessories,INSIGNIA,$229.99,$299.99,Best Buy,In Stock,True,True,"All-in-one entertainment With Fire TV built-in, you can enjoy a world of entertainment from apps like Prime Video, Netflix, Disney+, and Hulu. Plus, stream for free with Freevee, Pluto TV, Tubi, and more. Apps and services are subject to change or withdrawal at any time and may require separate subscriptions. Voice Remote with Alexa Just press and ask Alexa to find, launch, and control your content. Go beyond streaming to check sports scores, set timers, reminders, and more. Plus easily launch into Prime Video, and Netflix with with quick access buttons. ""Alexa, play_____."" A Smarter TV experience Fire TV is always adding new Alexa skills, features, smart home capabilities, and voice functionality. You can ask Alexa to do thing like start a video call with Alexa Communications or Zoom, or show picture-in-picture live camera feeds with out interrupting your workout. Over 1 million movies and TV episodes Enjoy favorites from Netflix, YouTube, Prime Video, Disney+, Apple TV+, Peacock, STARZ, Paramount+, and others. Plus, play millions of songs through services like Amazon Music, Apple Music, Spotify, Pandora and iHeartRadio. Subscription fees may apply. Level Up Gaming No matter what kind of gaming you're into, Games on Fire TV has you covered. Play games like you stream movies with Amazon Luna or download games from the Appstore.",10.0,B099P2JF9Y,74%,10%,4%,2%,10%
19,B09B94RL1R,"Amazon Echo Dot (5th Gen, 2022 release) | With bigger vibrant sound, helpful routines and Alexa | Glacier White",127640.0,4.6,$49.99,"https://images-na.ssl-images-amazon.com/images/I/41F4LmKQeoL._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/Amazon-release-vibrant-helpful-routines/dp/B09B94RL1R/ref=zg_bs_g_amazon-devices_d_sccl_19/130-2250045-4063114?psc=1,Amazon Devices & Accessories,Amazon,$49.99,,Amazon.com,In Stock,True,False,,10.0,B0BF73CTQF,80%,12%,4%,1%,3%
20,B09L45VFCN,Ring Chime,38840.0,4.6,$34.99,"https://images-na.ssl-images-amazon.com/images/I/61OIHg12JiL._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/Ring-Chime/dp/B09L45VFCN/ref=zg_bs_g_amazon-devices_d_sccl_20/130-2250045-4063114?psc=1,Amazon Devices & Accessories,Ring,$34.99,,Amazon.com,In Stock,True,False,,10.0,B09Q5CKF72,79%,12%,4%,1%,3%
1,B08PP5MSVB,"Apple iPhone 12, 64GB, Black - Fully Unlocked (Renewed)",26191.0,4.1,$298.00,"https://images-na.ssl-images-amazon.com/images/I/51fYXSnSu9L._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/Apple-iPhone-12-64GB-Black/dp/B08PP5MSVB/ref=zg_bs_g_amazon-renewed_d_sccl_1/135-6381759-7920809?psc=1,Amazon Renewed,Amazon Renewed,$285.00,$285.00,Hybrid IT,In Stock,False,False,"Apple iPhone 12 comes with a 6.1-inch OLED display, 5nm Apple A14 Bionic processor, and a dual-camera setup with a large sensor. 5G and Face ID are also standard features along with True Tone support for adjusting the white balance to the ambient lighting, and wide color support for true-to-life colors. The iPhone 12 is available in six different colors: White, Black, , (PRODUCT)RED, Purple, Blue and Green.",10.0,B09KW9M48M,64%,12%,6%,4%,14%
2,B07ZPKN6YR,"Apple iPhone 11, 64GB, Black - Unlocked (Renewed)",53177.0,4.2,$224.95,"https://images-na.ssl-images-amazon.com/images/I/61MG3m5FhIL._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/Apple-iPhone-11-64GB-Black/dp/B07ZPKN6YR/ref=zg_bs_g_amazon-renewed_d_sccl_2/135-6381759-7920809?psc=1,Amazon Renewed,Amazon Renewed,$230.00,$230.00,Hybrid IT,In Stock,False,False,"The iPhone 11 features a 6.1-inch LCD display that Apple calls a ""Liquid Retina HD Display."" It features a 1792 x 828 resolution at 326ppi, a 1400:1 contrast ratio, 625 nits max brightness, True Tone support for adjusting the white balance to the ambient lighting, and wide color support for true-to-life colors. The iPhone 11 is available in six different colors: White, Black, Yellow, (PRODUCT)RED, Purple, and Green.",10.0,B097M74GSR,68%,12%,5%,3%,11%
3,B07SKLLYTW,Apple AirPods 2 with Charging Case - White (Renewed),15495.0,4.3,$85.00,"https://images-na.ssl-images-amazon.com/images/I/41XjE57VLvL._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/Apple-AirPods-Charging-Case-Renewed/dp/B07SKLLYTW/ref=zg_bs_g_amazon-renewed_d_sccl_3/135-6381759-7920809?psc=1,Amazon Renewed,Amazon Renewed,,,,,False,False,This product comes with a non-wireless charging case.,10.0,B07SKLLYTW,73%,9%,5%,3%,10%
4,B08PNN2SKF,"Apple iPhone 12 Mini, 64GB, Blue - Unlocked (Renewed)",13566.0,4.0,$229.00,"https://images-na.ssl-images-amazon.com/images/I/51-ZD+JBZ7L._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/Apple-iPhone-12-Mini-64GB/dp/B08PNN2SKF/ref=zg_bs_g_amazon-renewed_d_sccl_4/135-6381759-7920809?psc=1,Amazon Renewed,Amazon Renewed,$230.00,$311.76,Hybrid IT,In Stock,False,False,"The iPhone 12 mini is the smallest of four iPhone models Apple revealed in its October 2020. It has a 5.4-inch Super Retina XDR display with 2340 x 1080 resolution. Its pixel density comes out to 476 ppi. Other added standard features include its A14 Bionic processor, and a dual-camera system along with 5G connectivity. The iPhone 12 mini comes in 6 colors: Black, White, Green, Blue, Purple and (PRODUCT)RED",10.0,B08PP9FM9N,62%,13%,7%,4%,14%
5,B08264XHCZ,"Apple iPad (10.2-Inch, Wi-Fi, 32GB) - Space Gray (Renewed)",10165.0,4.4,$144.00,"https://images-na.ssl-images-amazon.com/images/I/81IjVvOXGdL._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/Apple-iPad-10-2-Inch-Wi-Fi-32GB/dp/B08264XHCZ/ref=zg_bs_g_amazon-renewed_d_sccl_5/135-6381759-7920809?psc=1,Amazon Renewed,Amazon Renewed,$144.00,$169.00,PLATINUM DEALS,In Stock,True,False,Apple iPad 10.2 inches 7th Gen 32GB Wi-Fi Black and Space Gray 2019 MW742LL/A,10.0,B0C2QSXVMX,75%,11%,4%,3%,8%
6,B09LNW3CY2,"Apple iPhone 13, 128GB, Midnight - Unlocked (Renewed)",12477.0,4.1,$404.95,"https://images-na.ssl-images-amazon.com/images/I/61VuVU94RnL._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/Apple-iPhone-13-128GB-Midnight/dp/B09LNW3CY2/ref=zg_bs_g_amazon-renewed_d_sccl_6/135-6381759-7920809?psc=1,Amazon Renewed,Amazon Renewed,$391.95,$593.84,Bontend Company,Only 14 left in stock - order soon.,False,False,"The iPhone 13 features a 6.1-inch (155 mm) display with Super Retina XDR OLED technology at a resolution of 2532×1170 pixels and a pixel density of about 460 PPI with a refresh rate of 60 Hz and Dolby Vision HDR. Additional features include a dual-camera system, consisting of a 12MP F1.6 wide-angle and another 12MP F2.4 ultra-wide camera with True Tone flash and lens correction. Both rear cameras have larger sensors with improved light sensitivity and Dolby Vision HDR video recording, but only digital zoom and no optical zoom. The front-facing ultra-wide camera is a 12MP F2.2 one. The iPhone 13 video recording supports 4K videos at 60fps as well as 1080p video at up to 240fps. The iPhone 13 model is available in six colors: Midnight, Starlight, Product Red, Blue, Pink, and Green.",10.0,B09LP9P1FM,64%,13%,6%,4%,13%
7,B088NQXD8T,"Apple iPhone SE 2nd Generation, US Version, 64GB, Black - Unlocked (Renewed)",19036.0,4.2,$118.99,"https://images-na.ssl-images-amazon.com/images/I/71Ta1OO00fL._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/Apple-iPhone-SE-64GB-Black/dp/B088NQXD8T/ref=zg_bs_g_amazon-renewed_d_sccl_7/135-6381759-7920809?psc=1,Amazon Renewed,Amazon Renewed,$123.00,$156.86,Buy Refreshed,In Stock,True,False,"Apple iPhone SE (2nd Generation), US Version, 64GB, Black - Unlocked (Renewed)",10.0,B08P7FLGL8,68%,13%,6%,3%,10%
8,B07P6Y7954,"Apple iPhone XR, 64GB, Black - Unlocked (Renewed)",65135.0,4.4,$179.95,"https://images-na.ssl-images-amazon.com/images/I/51z1UO6N6LL._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/Apple-iPhone-XR-Fully-Unlocked/dp/B07P6Y7954/ref=zg_bs_g_amazon-renewed_d_sccl_8/135-6381759-7920809?psc=1,Amazon Renewed,Amazon Renewed,$181.00,$181.00,Hybrid IT,In Stock,False,False,"With the iPhone XR you get a roomy 6.1-inch display, fast enough performance from Apple's A12 Bionic processor and good camera quality in a colorful design and affordable package. Apple has included the all-new Liquid Retina LCD as the display on the iPhone XR. Apple released the iPhone XR with a smattering of color options. Both the glass back and the metal frame are brightly colored, with the glass using an in-depth seven-layer color process to achieve the rich finish and the Apple-exclusive aluminum alloy anodized to match. Instead of 3D Touch, the iPhone XR replicates the experience through ""Haptic Touch"". Advanced Face ID lets you securely unlock your iPhone and log in to apps with just a glance.",10.0,B08L97BW9J,74%,12%,5%,2%,8%
9,B0BN72FYFG,"Apple iPhone 14, 128GB, Midnight - Unlocked (Renewed)",2892.0,4.1,$499.00,"https://images-na.ssl-images-amazon.com/images/I/61WUSYIQdKL._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/Apple-iPhone-14-128GB-Midnight/dp/B0BN72FYFG/ref=zg_bs_g_amazon-renewed_d_sccl_9/135-6381759-7920809?psc=1,Amazon Renewed,Amazon Renewed,$479.00,$479.00,Tech Exchangee,Only 4 left in stock - order soon.,False,False,"Apple iPhone 14, 128GB, Midnight - Unlocked (Renewed)",10.0,B0BY5V81ST,68%,10%,4%,3%,15%
10,B083M6YZKT,"Apple Watch Series 5 (GPS, 40MM) - Gold Aluminum Case with Pink Sand Sport Band (Renewed)",26679.0,4.2,$137.00,"https://images-na.ssl-images-amazon.com/images/I/71luYyAPVTL._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/Apple-Watch-GPS-40MM-Aluminum/dp/B083M6YZKT/ref=zg_bs_g_amazon-renewed_d_sccl_10/135-6381759-7920809?psc=1,Amazon Renewed,Amazon Renewed,$142.99,$142.99,Hybrid IT,In Stock,False,False,"PRODUCT OVERVIEWFundamentally redesigned and re-engineered. The largest Apple Watch display yet. Built-in electrical heart sensor. New Digital Crown with haptic feedback. Low and high heart rate notifications. Fall detection and Emergency SOS. New Breathe watch faces. Automatic workout detection. New yoga and hiking workouts. Advanced features for runners like cadence and pace alerts. New head-to-head competitions. Activity sharing with friends. Personalized coaching. Monthly challenges and achievement awards. Stream Apple Music and Apple Podcasts. And use Siri in all-new ways - even while you're away from your phone. With Apple Watch Series 5, you can do it all with just your watch!KEY FEATURESGPS OnlyOver 30% larger display Electrical and optical heart sensorsDigital Crown with haptic feedback50% louder speakerImproved accelerometer and gyroscope for fall detectionSwimproofwatchOS 6",10.0,B0D627CTRK,68%,11%,5%,4%,12%
11,B09WZF9633,"Samsung Galaxy S22 Ultra, Unlocked, 512GB, US Version, Phantom Black (Renewed)",4072.0,3.9,$446.99,"https://images-na.ssl-images-amazon.com/images/I/613Fp7fknhL._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/Samsung-Smartphone-Unlocked-Brightest-Processor/dp/B09WZF9633/ref=zg_bs_g_amazon-renewed_d_sccl_11/135-6381759-7920809?psc=1,Amazon Renewed,Amazon Renewed,$444.00,$464.99,PDI Mobile,Only 3 left in stock - order soon.,False,False,"This pre-owned or refurbished product has been professionally inspected and tested to work and look like new. How a product becomes part of Amazon Renewed, your destination for pre-owned, refurbished products: A customer buys a new product and returns it or trades it in for a newer or different model. That product is inspected and tested to work and look like new by Amazon-qualified suppliers. Then, the product is sold as an Amazon Renewed product on Amazon. If not satisfied with the purchase, renewed products are eligible for replacement or refund under the Amazon Renewed Guarantee.",10.0,B0B529LWQ3,59%,12%,7%,5%,18%
12,B08PMYLKVF,"Apple iPhone 12 Pro, 128GB, Pacific Blue - Fully Unlocked (Renewed)",10515.0,4.1,$379.99,"https://images-na.ssl-images-amazon.com/images/I/51n-83C8HYL._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/Apple-iPhone-128GB-Pacific-Blue/dp/B08PMYLKVF/ref=zg_bs_g_amazon-renewed_d_sccl_12/135-6381759-7920809?psc=1,Amazon Renewed,Amazon Renewed,$383.00,$521.01,Hybrid IT,Only 2 left in stock - order soon.,False,False,"Apple iPhone 12 Pro, 128GB, Pacific Blue - Unlocked (Renewed)",10.0,B08PNP57DQ,65%,13%,6%,4%,12%
13,B07Q484YLW,"Apple Watch Series 4 (GPS + Cellular, 40MM) - Gold Aluminum Case with Pink Sand Sport Band (Renewed)",24582.0,4.1,$127.00,"https://images-na.ssl-images-amazon.com/images/I/61NPQ+Y13dL._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/Apple-Watch-GPS-Cellular-40mm/dp/B07Q484YLW/ref=zg_bs_g_amazon-renewed_d_sccl_13/135-6381759-7920809?psc=1,Amazon Renewed,Amazon Renewed,$125.49,$140.26,Gadget Replay,Only 4 left in stock - order soon.,False,False,We do not ship to freight forwarders.APPLE WATCH SERIES 4 40MM Gld AL PNK SB,10.0,B09QC4443T,66%,11%,6%,4%,13%
14,B0BNJNP1P6,Apple AirPods with Lightning Charging Case (3rd Generation) (Renewed),1650.0,4.3,$111.00,"https://images-na.ssl-images-amazon.com/images/I/61CmrrKebAL._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/Apple-AirPods-Lightning-Charging-Generation/dp/B0BNJNP1P6/ref=zg_bs_g_amazon-renewed_d_sccl_14/135-6381759-7920809?psc=1,Amazon Renewed,Amazon Renewed,$119.99,$129.99,Hybrid IT,In Stock,False,False,"AirPods (3rd generation) offer immersive Personalized Spatial Audio and extended battery life. Sweat and water-resistant, they deliver a seamless experience. The Force sensor lets you control entertainment and calls, and they include a Lightning Charging Case with up to 6 hours of total listening time. Quick access to Siri is available with “Hey Siri,” and setup is easy with in-ear detection and automatic device switching. You can share audio between two sets of AirPods and locate them using Find My with proximity view. Compatible with iPhone 8 or later, iPod touch (7th gen), and various iPad models running the latest software.",10.0,B0BNJNP1P6,71%,9%,6%,4%,10%
15,B09LKTXKXQ,"Apple iPhone 13 Mini, 128GB, Midnight - Unlocked (Renewed)",4431.0,4.1,$344.00,"https://images-na.ssl-images-amazon.com/images/I/61H3jeeHnUL._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/Apple-iPhone-13-Mini-Midnight/dp/B09LKTXKXQ/ref=zg_bs_g_amazon-renewed_d_sccl_15/135-6381759-7920809?psc=1,Amazon Renewed,Amazon Renewed,$351.00,$351.00,Hybrid IT,In Stock,False,False,"iPhone 13 Mini, 128GB, Midnight - Unlocked (Renewed)",10.0,B09LLBX2PZ,64%,12%,7%,4%,13%
16,B08KWJW3DV,"Apple iPad 2020 (10.2-inch, Wi-Fi, 32GB) - Space Gray (Renewed)",3591.0,4.5,$164.00,"https://images-na.ssl-images-amazon.com/images/I/517D9rSAztL._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/Apple-iPad-10-2-inch-Wi-Fi-32GB/dp/B08KWJW3DV/ref=zg_bs_g_amazon-renewed_d_sccl_16/135-6381759-7920809?psc=1,Amazon Renewed,Amazon Renewed,$164.00,$305.99,Prime Renewed Store,In Stock,True,False,"The Apple 10.2"" iPad features the Retina display with a 2160 x 1620 resolution for crisp details and vivid colors, making it an ideal companion for watching movies, creating content, and much more. The previous A10 Fusion chip is replaced with the A12 Bionic chip, which is more powerful and supports Neural Engine machine learning. Moreover, its Smart Connector offers Smart Keyboard support for comfortable typing, while its display is compatible with the 1st gen Apple Pencil, so users can write and draw. With front and back cameras, the iPad can take photos, capture video, scan documents, make FaceTime calls, and provide AR capabilities. Connectivity-wise, it's equipped with Wi-Fi 5 (802.11ac), Bluetooth 4.2, a Lightning connector, and a 3.5mm audio jack. Its li-polymer battery is rated for up to 10 hours of use to keep you going throughout the day.The new iPad combines the power and capability of a computer with the ease of use and versatility you'd never expect from one. And now it's even more versatile, with a larger 10.2-inch Retina display, support for the full-size Smart Keyboard, and the amazing new capabilities of iPadOS. It's unbelievably fun. And unmistakably iPad. With iPad, getting work done is all hustle and no hassle. You can easily edit a document while researching something on the web and making a FaceTime call to a colleague at the same time. Manage all your files in one convenient spot with the Files app. And when you want to write a term paper or create a presentation, you can simply use the onscreen keyboard or attach the full-size Smart Keyboard.",10.0,B0CXWXS16M,77%,11%,3%,2%,7%
17,B0BDY71GRG,"Apple iPhone SE 3rd Gen, 64GB, Midnight - Unlocked (Renewed)",1928.0,4.2,$181.00,"https://images-na.ssl-images-amazon.com/images/I/61-wAIWB8NL._AC_UL300_SR300,200_.jpg",False,https://www.amazon.com/Apple-iPhone-SE-3rd-Midnight/dp/B0BDY71GRG/ref=zg_bs_g_amazon-renewed_d_sccl_17/135-6381759-7920809?psc=1,Amazon Renewed,Amazon Renewed,$169.00,$197.00,ELECTRONIC DEALS,Only 18 left in stock - order soon.,True,False,"Apple iPhone SE 3rd Gen, 64GB, Midnight - Unlocked (Renewed)",10.0,B0BHQK666X,69%,12%,5%,3%,11%
